Precinct,Frisk_Crime_ratio,Crime_Pop_ratio,Frisk_Pop_ratio,Black_Frisk_Pop,Black_Pop_share,Black_Frisk_share,Hisp_Frisk_Pop,Hisp_Pop_share,Hisp_Frisk_share,White_Frisk_Pop,White_Pop_share,White_Frisk_share,TotCrime_01_12,Vcrime_01_12,Frisk_03_12,Success,Arrest,Weap_Nonweap,PhysForce,Duration,Seasonality,K_race,K_nonrace,Precinct_Crime_Share_2001,Precinct_Crime_Share_2012,Precinct_Stop_Share,Count_Day_1,Count_Day_2,Count_Day_3,Count_Day_4,Count_Day_5,Count_Day_6,Count_Day_7,Count_Day_8,Count_Day_9,Count_Day_10,Count_Day_11,Count_Day_12,Count_Day_13,Count_Day_14,Count_Day_15,Count_Day_16,Count_Day_17,Count_Day_18,Count_Day_19,Count_Day_20,Count_Day_21,Count_Day_22,Count_Day_23,Count_Day_24,Count_Day_25,Count_Day_26,Count_Day_27,Count_Day_28,Count_Day_29,Count_Day_30,Count_Day_31,Counts_2003,Counts_2004,Counts_2005,Counts_2006,Counts_2007,Counts_2008,Counts_2009,Counts_2010,Counts_2011,Counts_2012,PP_Desc,blank,highlight
19,22.71069492,15.70376231,35.95844244,137.7350059,2.602874568,35.8506944,45.10942602,7.87533266,35.5251736,2.509973138,85.42311421,21.4409722,-45.53020134,-0.729927007,377.9835391,4.412397762,12.59147654,95.12195122,24.92466638,7.672589382,90.13005111,1,2,2.298474677,1.835235804,0.875462369,46.63865546,60.08403361,74.78991597,81.93277311,68.90756303,68.48739496,42.01680672,76.8907563,100,78.99159664,65.96638655,59.24369748,58.40336134,37.39495798,47.05882353,64.28571429,67.22689076,64.70588235,69.32773109,56.72268908,50.84033613,44.53781513,62.60504202,48.7394958,77.31092437,78.99159664,83.61344538,77.73109244,47.89915966,50.84033613,23.94957983,14.10126215,17.35093573,46.14826636,54.59161468,100,78.06470332,54.59161468,61.43914116,75.91759756,67.40171188," 153 East 67th Street, New York, NY, 10065-5964  (212) 452-0600  The 19th Precinct has a population which is one of the densest in the nation, with residents estimated at 217,063. The southern part of the precinct has a large commercial area and the famous avenues of - Madison, Lexington and 3rd, well known for their shopping. There are also many dignitaries and diplomats that reside or own real estate within the precinct. There are currently 32 foreign mission, 12 consulates, and 70 ambassador ",0,0
20,30.33138402,13.1729567,41.8555934,103.5021508,3.918053768,40.5526992,29.47075818,9.802318156,28.8881748,2.927249984,80.02545061,23.4254499,-31.27930342,-45.83333333,318.4852375,3.036809816,10.27607362,80.06134969,14.20245399,7.100737101,62.26594972,1,1,0.921240991,0.928019682,0.61429344,83.82352941,88.97058824,52.20588235,88.23529412,72.79411765,59.55882353,69.11764706,73.52941176,82.35294118,70.58823529,80.14705882,67.64705882,73.52941176,72.05882353,58.82352941,66.17647059,66.17647059,68.38235294,86.76470588,79.41176471,68.38235294,61.76470588,97.05882353,97.79411765,82.35294118,100,91.91176471,68.38235294,56.61764706,62.5,41.17647059,14.89768598,33.6584433,43.41174221,58.09906292,64.21877988,54.17861924,58.09906292,86.61311914,100,62.34461656," 120 West 82nd Street, New York, NY, 10024-5502 (212) 580-6411 The 20th Precinct is located on the upper west side of Manhattan. The area is residential, commercial and industrial. The precinct consists of a culturally diverse community with very well known sources of cultural events and locations. There are numerous civic and social events throughout the year due to the close proximity of Central Park. The precinct becomes host to special events that are actually taking place in the park. The c",0,0
22,56.73267327,,,,0,43.2809773,,0,31.4136126,,0,19.3717277,-20.47244094,-42.85714286,402.5641026,3.231292517,4.421768707,51.19047619,4.591836735,7.646258503,156.745341,0,0,0.078364103,0.091354764,0.110798939,55.26315789,76.31578947,55.26315789,36.84210526,76.31578947,50,39.47368421,71.05263158,60.52631579,44.73684211,44.73684211,31.57894737,34.21052632,52.63157895,39.47368421,28.94736842,52.63157895,68.42105263,100,39.47368421,76.31578947,63.15789474,39.47368421,23.68421053,18.42105263,76.31578947,31.57894737,52.63157895,26.31578947,7.894736842,34.21052632,8.303761533,27.18239886,79.91483322,40.88005678,59.54577715,46.84173172,40.88005678,87.29595458,100,41.73172463," 1 W 86th and Transverse Rd, New York, NY 10024-6099 (212) 570-4820 Central Park was designed in 1858 by Fredrick Law Olmstead and Calvert Vaux and it became the Nation's First Public Park. Between 16 and 20 million people visit the park each year. The park is home to squirrels, birds, fish, rabbits, turtles, frogs and other animals. There are 42 species of birds year round and close to 300 species have been sighted in the park. The park is made up of 840 acres, 150 acres of water and 690 acres ",0,0
23,105.8201581,5.236861265,56.88618171,18.59948754,33.26607287,61.8731908,5.997531524,54.07335613,32.4306658,0.777934095,27.96817898,2.17574,-23.39137017,-20.59620596,286.533052,2.055853725,4.784863095,101.1764706,7.422905485,4.693329693,53.31679007,2,1,0.81511008,0.915356645,2.071450241,69.90950226,75.33936652,94.57013575,74.2081448,75.7918552,80.31674208,67.19457014,78.73303167,82.57918552,82.80542986,85.0678733,100,93.66515837,87.78280543,88.23529412,97.73755656,62.21719457,70.81447964,87.1040724,81.4479638,93.89140271,86.65158371,88.46153846,68.5520362,69.68325792,71.94570136,68.5520362,63.57466063,59.95475113,69.90950226,46.15384615,16.31108052,29.03188805,55.16173434,82.68524891,86.63684331,88.5065382,82.68524891,98.37118605,100,63.04771737," 162 East 102 Street, New York, NY, 10029-5721  (212) 860-6411 The 23rd Precinct serves East Harlem (El Barrio) north of East 96th Street. The Precinct is primarily a residential and commercial community with 2% of the area industrial. There are 11 major housing complexes and 4 notable institutions in the community.      ",0,0
24,37.32044199,18.46651197,71.3834413,27.3278413,18.03904548,49.2968172,14.89005275,24.09303802,35.8746607,1.72453338,63.66662093,10.9795213,-27.74451098,-24.48979592,242.1352893,3.787517866,9.718913768,64.28571429,20.96236303,5.468541468,71.04528728,2,1,0.927411393,0.982289839,0.791044129,84.2364532,66.99507389,64.5320197,77.33990148,67.48768473,81.28078818,68.96551724,71.92118227,100,66.99507389,77.33990148,61.57635468,91.62561576,74.38423645,74.87684729,67.48768473,69.95073892,66.99507389,43.84236453,62.56157635,47.78325123,46.30541872,61.57635468,57.63546798,58.12807882,46.79802956,67.98029557,55.17241379,30.54187192,39.90147783,44.33497537,25.04081633,31.83673469,37.48979592,61.79591837,95.40816327,83.16326531,61.79591837,80.93877551,100,85.67346939," 151 West 100th Street, New York, NY, 10025-5146  (212) 678-1811 The 24th Precinct is located on the upper West Side of Manhattan. It is a residential and commercial community of multiple dwelling homes with one major Housing Development. The major commercial district in the command spans the entire length of Broadway.      ",0,0
25,58.95833333,11.46987243,68.97129729,14.72023627,44.85631363,66.0295535,5.27200609,49.99465336,26.3572117,1.883440325,17.31151424,3.2605204,0.380228137,-1.515151515,158.025193,4.472440945,10.36220472,112.8205128,27.25984252,4.810146526,58.74211312,3,1,0.649126271,0.95515476,1.196553173,61.06870229,77.86259542,81.29770992,66.79389313,90.45801527,96.94656489,81.29770992,61.45038168,100,80.91603053,77.48091603,74.04580153,77.86259542,82.82442748,67.17557252,86.25954198,95.41984733,80.15267176,78.24427481,97.32824427,77.86259542,66.03053435,67.17557252,92.36641221,80.91603053,67.55725191,76.71755725,61.06870229,64.50381679,66.03053435,41.22137405,23.09063614,31.61005817,39.23813098,76.51529368,74.08519422,80.32463877,76.51529368,100,92.90673672,59.57965847," 120 East 119th Street, New York, NY, 10035-3921  (212) 860-6511 The 25th Precinct is a mixed area consisting of commercial, residential and both public and private housing. There are six main commercial strips in the precinct: E. 166th St. from Pleasant Ave. to Madison Ave., E. 125th St. from 2nd Ave. to 5th Ave., 3rd Ave. from E. 115th St. to E. 125th St., Lexington Ave. from E. 115th St. to E. 124th St. and 2nd Ave. from E 115th St. to E. 124th Street.      ",0,0
26,78.85925926,6.53403153,52.26257219,18.09522551,37.58271101,68.0067631,6.602493776,35.2254198,23.2575615,1.319953785,29.60384633,3.9075709,-28.57142857,-11.26760563,399.9074074,3.296906835,8.186701241,58.53658537,20.52231895,5.060959792,61.40303689,2,1,0.583102972,0.610539264,1.017352848,58.14814815,74.81481481,100,67.03703704,62.59259259,67.40740741,45.18518519,60,54.44444444,68.51851852,60,63.33333333,63.33333333,60.74074074,45.92592593,55.18518519,68.14814815,71.11111111,87.77777778,82.22222222,66.2962963,53.7037037,70.37037037,56.2962963,70.37037037,53.7037037,71.85185185,59.62962963,61.48148148,52.22222222,39.62962963,20.00370439,40.06297462,96.81422486,74.19892573,78.71828116,77.81070569,74.19892573,83.64511947,91.92443045,100," 520 West 126th Street, New York, NY, 10027-2406  (212) 678-1311 The 26th Precinct is located in upper Manhattan and is bounded by the Hudson River and Henry Hudson Parkway. A variety of prestigious colleges and institutions dot the community. Because of this, the precinct is home to a large transient population as well as a large and vibrant residential population.      ",0,0
28,69.67161017,14.82007744,105.0435785,12.97006113,61.00527978,79.1242208,8.768756638,17.94628218,15.7366581,1.485701579,21.28648273,3.1625361,-1.871101871,-14.83870968,303.5585042,2.331490061,4.423852937,51.35135135,16.21581229,5.083744579,64.3964913,3,1,0.593592655,0.853850468,1.260809021,76.10062893,76.10062893,59.11949686,68.86792453,82.70440252,63.20754717,80.50314465,100,69.81132075,60.06289308,67.9245283,75.47169811,49.05660377,53.14465409,68.23899371,53.4591195,52.83018868,54.40251572,81.44654088,62.57861635,62.89308176,88.36477987,68.23899371,67.61006289,66.98113208,88.67924528,55.97484277,72.64150943,61.32075472,44.65408805,35.8490566,19.00940151,23.40059619,59.67667966,84.72827333,73.38913093,72.63242376,84.72827333,87.54872736,100,76.71405641," 2271-89 8th Ave., New York, NY, 10027-5319 (212) 678-1611 The 28th Precinct is a largely residential community within Harlem with world-renowned status in the cultural/ethnic community, community organizations and institutions. The community is 86% residential, 9% commercial and the remaining areas consist of parks, churches and schools. The Precinct is situated in a location which is accessible to all major transportation arteries, all major subway lines and a network of bus lines.      ",0,0
30,69.63133641,9.588978601,68.00662704,11.20266913,40.06856863,44.8874917,9.035917615,52.91772008,47.8160159,1.13413289,23.63342182,2.6803441,-28.08616404,-52.02863962,449.1525424,6.270305393,10.05523067,152.3255814,19.0545809,5.110297706,52.4182587,3,1,0.744767499,0.785108269,1.15999706,76.4940239,78.48605578,90.43824701,77.29083665,68.92430279,68.92430279,93.22709163,55.37848606,84.86055777,83.66533865,100,76.4940239,65.33864542,77.29083665,78.88446215,74.90039841,67.72908367,76.4940239,87.64940239,90.43824701,96.01593625,85.65737052,60.9561753,68.52589641,75.69721116,88.04780876,97.60956175,74.90039841,70.91633466,60.15936255,56.57370518,14.73061761,65.08541393,74.04730618,100,93.90275953,43.56110381,100,63.48226018,98.98817346,80.8935611," 451 West 151st Street, New York, NY, 10031-1802  (212) 690-8811 The 30th Precinct is primarily residential, containing a commercial area on Broadway. The neighborhoods in the precinct are known as Hamilton Heights, Sugar Hill and West Harlem.      ",0,0
32,103.1972789,5.321963165,55.11257481,11.92152905,71.14830867,84.8196629,4.521760669,23.17949504,10.4812129,1.377158186,11.55631224,1.591487,-34.12291933,-38.94139887,474.137931,4.129129129,7.638888889,62.65822785,43.14001502,5.319394851,45.45082975,3,1,0.963816764,0.93073319,2.007948128,67.84232365,67.01244813,56.84647303,71.78423237,74.06639004,100,76.5560166,73.23651452,87.96680498,76.97095436,74.06639004,66.80497925,75.10373444,73.85892116,69.70954357,82.78008299,82.78008299,67.84232365,71.16182573,79.25311203,69.91701245,77.593361,80.70539419,57.46887967,65.76763485,73.4439834,68.25726141,53.94190871,57.88381743,51.65975104,50.82987552,14.54659456,38.39642605,34.2503331,93.65937769,75.27235677,88.38466964,93.65937769,83.07861118,100,83.51751705," 250 West 135th Street, New York, NY, 10030-2802  (212) 690-6311 The 32nd Precinct is a residential and business district. There are 6 housing complexes and 11 private housing developments. The business district is located on Lenox Ave. between W. 132nd and 139th Streets.      ",0,0
33,39.66629588,22.46901983,90.2759729,11.81759738,18.60396584,21.9854178,9.414756886,73.98797531,69.65788,1.797247747,24.34082617,4.3746495,-25.51781276,-41.52046784,68.94293732,3.682170543,6.61683278,55.26315789,21.04097453,5.539739684,78.89614353,3,1,0.744767499,0.81314785,0.680622057,55.26315789,70.39473684,59.86842105,81.57894737,78.28947368,66.44736842,88.81578947,100,82.23684211,88.15789474,85.52631579,69.73684211,71.05263158,77.63157895,87.5,87.5,99.34210526,81.57894737,86.84210526,53.94736842,67.76315789,61.84210526,80.92105263,77.63157895,75,94.07894737,80.26315789,45.39473684,61.18421053,55.26315789,75,30.50799087,46.73230594,50.78481735,82.94805936,67.08047945,64.41210046,82.94805936,62.043379,100,51.54109589," 2207 Amsterdam Ave., New York, NY, 10032-2512  (212) 927-3200 The 33rd Precinct is located in the Washington Heights section of northern Manhattan, which covers one of the most complex and congested areas of the city. It is a densely populated mixture of residential multi-family apartment buildings, extensive small business, historical landmarks, and places of interest. The three primary commercial strips are Broadway, Amsterdam and St. Nicholas Avenues. There are 28 diverse Houses of Worship w",0,0
34,82.35751295,6.2047593,51.78134186,7.817380214,11.48155591,8.9755688,10.18064764,77.37954996,78.7773933,1.137708331,34.65334209,3.9425396,-31.84226015,-24.75570033,471.8343195,2.814569536,4.159768212,61.76470588,21.52317881,5.122024426,51.70722491,3,1,1.048351269,1.047414027,1.821022026,87.37623762,68.06930693,77.97029703,73.76237624,79.95049505,65.59405941,63.36633663,81.43564356,89.35643564,81.43564356,69.05940594,70.79207921,70.79207921,63.61386139,72.77227723,74.25742574,84.15841584,89.85148515,88.61386139,78.96039604,61.38613861,71.53465347,76.73267327,81.93069307,80.44554455,100,94.55445545,89.85148515,67.82178218,62.37623762,42.82178218,14.68798888,28.15922128,30.65357205,63.30610116,58.03059273,65.98296541,63.30610116,58.94316009,100,83.99096124," 4295 Broadway, New York, NY, 10033-3729 (212) 927-9711 The 34th Precinct services the communities of Washington Heights and Inwood within the area of Manhattan, north of West 179th Street. A great ethnic, cultural and economic mix with a majority of Hispanic population. The precinct size is two square miles with 500 acres of parkland.      ",0,0
40,110.3259533,9.558153489,107.1559532,13.46519202,37.67717505,50.7330397,6.582126956,69.85285609,45.9780367,0.431739688,27.63080702,1.1929316,-23.30188679,-22.80071813,363.7242432,2.446650941,5.705195019,56.41025641,31.3785726,4.943054641,24.3985633,3,2,1.308125185,1.47072125,3.434955558,85.33145275,98.58956276,75.4583921,80.67700987,83.92101551,91.81946403,89.8448519,80.67700987,86.17771509,79.12552891,84.34414669,82.08744711,81.24118477,83.63892807,79.68970381,90.4090268,86.03667137,87.72919605,100,90.55007052,73.6248237,77.00987306,78.56135402,82.22849083,64.73906911,81.80535966,88.85754584,72.77856135,71.93229901,61.91819464,59.37940762,21.56454002,38.99829941,65.53842778,82.7527566,67.77661967,68.25388118,82.7527566,94.43743486,96.71951286,100," 257 Alexander Ave., Bronx, NY, 10454-1133 (718) 402-2270 The 40th Precinct is the southern most police precinct in the county of the Bronx. The command consists of such neighborhoods as Port Morris"" - below E. 138th St.- predominantly industrial with a multitude of warehouses along the southern border. Residential areas of Port Morris are sparse and lightly populated. ""Mott Haven"" - E. 138th St to E. 149th St. - contains both heavily populated residential areas as well as two main commercial zo",0,0
